platform,id,key,name,rating,user_numbers,creator,last_updated
chrome,cmbagcoinhmacpcgmbiniijboejgiahi,justliquidity-wallet,JustLiquidity Wallet,5.0,87,JustLiquidity,2020-10-13 00:00:00
chrome,llpbjcejemjfaicajiephoejjnogfbed,bitcoin-tab,Bitcoin Tab,0.0,8,Bitcoin Tab,2020-10-03 00:00:00
chrome,ookjlbkiijinhpmnjffcofjonbfbgaoc,thanos-wallet,Thanos Wallet,5.0,816,Madfish Solutions,2020-11-17 00:00:00
chrome,kgjhgbkbobjkkhkfddbdmcppkaialoel,bitcoincash-bch-price-tic,BitcoinCash (BCH) Price Ticker,4.333333333333333,262,Taha,2020-03-10 00:00:00
chrome,jadobjbcgibiopkifknkfnohlelpocll,badger-wallet,Badger Wallet,4.862068965517241,"6,000",badgerwallet,2020-04-01 00:00:00
chrome,lfalmidbffpgbpbjckichdnemaoenemj,snappy-cash,Snappy Cash,5.0,30,sterlingbeason,2020-03-11 00:00:00
chrome,ekgoigfalelgbdohgmolhmblfpljaagf,just-bitcoin-cash-ticker,Just Bitcoin Cash Ticker [PRO],0.0,1,morocco,2020-11-03 00:00:00
chrome,nbpfcapniahpdkfmejpogoiamnconiik,just-bitcoin-cash-sv-tick,Just Bitcoin Cash Sv Ticker [PRO],0.0,0,morocco,2020-11-04 00:00:00
chrome,mkhdgadimehhojbgpphhkodolihgmmfe,coinmarketcap,Coinmarketcap,5.0,52,conan,2020-05-19 00:00:00
chrome,jlbkpppjbkmkjjemjcofmccodofkknmc,cryptocurrency-prices-cha,Cryptocurrency Prices & Charts - BitDuck,5.0,100,CrisValls,2020-11-16 00:00:00
chrome,gfchpofllbnjfhgmjbgmhljdpolcjing,mraddon-blockchain-viewer,MrAddon BlockChain Viewer for Chrome,0.0,27,MrAddon ®,2020-03-16 00:00:00
chrome,pdpahdgmbnpeepflkedmdcieohpcpchh,cryptocurrency-price-tick,Cryptocurrency Price Ticker,5.0,10,Ethan Chiasson,2020-02-01 00:00:00
chrome,mhhgjpidhclpobhkdnlopdfhfamalnia,stormx-shop-earn-crypto,StormX: Shop & Earn Crypto,5.0,"2,000",StormX Singapore PTE. LTD.,2020-11-23 00:00:00
chrome,mbaihdegekjkhgajmamfgmgephoeppgb,just-litecoin-ticker-pro,Just Litecoin Ticker [PRO],0.0,1,morocco,2020-11-03 00:00:00
chrome,fhilaheimglignddkjgofkcbgekhenbh,oxygen-atomic-crypto-wall,Oxygen - Atomic Crypto Wallet,2.3333333333333335,143,Oxygen - Blockchain Solutions,2020-05-26 00:00:00
chrome,nogdkjfnegdjdgegekcclglocakclegl,bitcoin-ticker-for-wex-ex,Bitcoin Ticker for WEX exchange,4.833333333333333,16,Maksym Tymchyk,2020-08-27 00:00:00
chrome,gkpgfnkkpnffhdidnjnainjfbfhoipbb,the-crypto-lab,The Crypto Lab,0.0,8,Louis Mzk,2020-03-20 00:00:00
chrome,ieafcflodgfbcjeggikhlnckkfkhbmln,make-crypto-easier,Make Crypto Easier,0.0,0,Louis Mzk,2020-03-25 00:00:00
chrome,acfodajggdfhmkgalgjijpbnpgnhpdeo,just-cardano-ticker-pro,Just Cardano Ticker [PRO],0.0,1,morocco,2020-11-01 00:00:00
chrome,nppgknjeeojeghmaegambagdckglfcgf,chainlink-linkusd-price-t,ChainLink (LINK/USD) Price Ticker,4.5,98,Taha,2020-03-11 00:00:00
chrome,pnndplcbkakcplkjnolgbkdgjikjednm,tron-wallet-explorer-tron,Tron Wallet & Explorer - Tronium,4.1,"2,000",syattdevelopment,2020-10-19 00:00:00
chrome,nanjmdknhkinifnkgdcggcfnhdaammmj,guildwallet,GuildWallet,4.3076923076923075,"1,000",BitGuild,2020-04-22 00:00:00
chrome,djhecjelehcfnnlbkegkckcngmngdnjf,reynapay,ReynaPay,3.6666666666666665,10,Reyna Foundation,2020-01-15 00:00:00
chrome,bkdlmhjcfkfainkpdcdnaefganapmblg,skywallet,SkyWallet,0.0,5,developer,2020-06-13 00:00:00
chrome,nkddgncdjgjfcddamfgcmfnlhccnimig,saturn-wallet,Saturn Wallet,4.875,"2,000",Saturn Network,2020-01-29 00:00:00
chrome,ejeemcbjgjnbmdckfkiofpiogmkejdja,just-ethereum-classic-tic,Just Ethereum Classic Ticker [PRO],0.0,1,morocco,2020-11-03 00:00:00
chrome,mnlfoooikhmcaomegmfopecjngldnmmn,ethermine-watcher,Ethermine Watcher,0.0,79,DW Crypto,2020-05-19 00:00:00
chrome,ffkicalblogbdapjfckabempifkaieia,cryptocurrency-rates,Cryptocurrency Rates,4.0,12,Psych,2020-02-01 00:00:00
chrome,bifgdgokenggepijpgmljalgbdaifnco,buycoins-price-checker,BuyCoins - Price Checker,5.0,3,Balogun Wahab,2020-08-18 00:00:00
chrome,kpcngaggbajehefdinhniockfhdhacnb,coinbag-track-all-your-co,Coinbag - Track all your coins in one place,5.0,121,CoinBag,2020-05-29 00:00:00
chrome,glopllgnheolomicjjhiceipcdonpoae,just-zcash-ticker-pro,Just Zcash Ticker [PRO],0.0,1,morocco,2020-11-03 00:00:00
chrome,bcnchpdbjajimfokaipiekoanbnhmdij,btcbit,BTCBIT,0.0,2,paulblair931,2020-02-19 00:00:00
chrome,dkdedlpgdmmkkfjabffeganieamfklkm,cyano-wallet,Cyano Wallet,3.375,"5,000",cyano-publishing,2020-10-22 00:00:00
chrome,icmkfkmjoklfhlfdkkkgpnpldkgdmhoe,cyano-wallet-pro,Cyano Wallet Pro,0.0,21,cyanowallet,2020-11-09 00:00:00
chrome,ojopeinoooepnfnmifmmjebccpnjamea,vechain-price-checker,VeChain Price Checker,4.6,94,A Byte Ahead,2020-10-14 00:00:00
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0.0,44,Pibals,2020-01-25 00:00:00
chrome,jcacnejopjdphbnjgfaaobbfafkihpep,hive-keychain,Hive Keychain,4.5,"8,000",Matt Rosen (@yabapmatt),2020-11-20 00:00:00
chrome,klnaejjgbibmhlephnhpmaofohgkpgkd,zilpay,ZilPay,4.714285714285714,"9,000",lich666black,2020-11-06 00:00:00
chrome,imijjbmbnebfnbmonjeileijahaipglj,moonlet-wallet,Moonlet Wallet,2.1,"1,000",Moonlet,2020-11-04 00:00:00
chrome,fbbckponafgkennhnmgfoikfmbkiplgp,coinstats-crypto-portfoli,CoinStats - Crypto Portfolio Tracker,4.733333333333333,"3,000",Coin Stats Inc,2020-10-09 00:00:00
chrome,nkhbpikfdnmjhkdnflbgikpepnbilppk,safepay,SafePay,0.0,1,contact.teamkz,2020-05-21 00:00:00
chrome,lkcjlnjfpbikmcmbachjpdbijejflpcm,steem-keychain,Steem Keychain,4.705882352941177,"6,000",Matt Rosen (@yabapmatt),2020-03-24 00:00:00
chrome,jhgnbkkipaallpehbohjmkbjofjdmeid,steemkeychain,SteemKeychain,5.0,296,HappyBerrysBoy,2020-08-30 00:00:00
chrome,epllefgepapckihklfccpocjbnelpojp,coinclaim,CoinClaim,3.9,"3,000",Satorify.io,2020-02-01 00:00:00
chrome,hplnpmobilcipddcpeejfmcpkfcklbpb,accby-wallet,Accby Wallet,0.0,6,accbychain,2020-01-21 00:00:00
chrome,gfjmjaloockgblofndpilcafdonjhhef,eks-token-login,EKS token login,0.0,1,ddh.haven,2020-09-14 00:00:00
chrome,japgcbmdokcibjdencjalgfjeglgbcgc,tx-ray-beta-protect-your,TX-ray (Beta): Protect Your Wallets,5.0,24,TX-ray,2020-03-19 00:00:00
chrome,jbdaocneiiinmjbjlgalhcelgbejmnid,nifty-wallet,Nifty Wallet,4.7727272727272725,"3,000",POA Network,2020-11-13 00:00:00
chrome,blnieiiffboillknjnepogjhkgnoapac,equal-wallet,EQUAL Wallet,4.816666666666666,"1,000",equalnetwork,2020-08-21 00:00:00
