platform,id,key,name,rating,user_numbers,creator,last_updated
chrome,cpcnbnofbhmpimepokdpmoomejafefhb,bitcoin-btc-price-ticker,Bitcoin (BTC) Price Ticker,5.0,110,Taha,2020-03-10 00:00:00
chrome,njbclohenpagagafbmdipcdoogfpnfhp,ethereum-gas-prices,Ethereum Gas Prices,5.0,211,Philippe Masset,2020-09-18 00:00:00
chrome,mbfcnfgpimdeehokhmhdhmpmkphdeamd,ethereum-price-ticker-eth,Ethereum Price Ticker | ETH Price Ticker,5.0,322,"Root Consulting, Inc",2020-08-08 00:00:00
chrome,pdknmigbbbhmllnmgdfalmedcmcefdfn,etheraddresslookup,EtherAddressLookup,4.555555555555555,"60,000",Harry,2020-09-04 00:00:00
chrome,innfmlnnhfcebjcnfopadflecemoddnp,ethereum-gas-price-extens,Ethereum Gas Price Extension,4.9,"3,000",nieldlr,2020-11-04 00:00:00
chrome,fhbohimaelbohpjbbldcngcnapndodjp,binance-chain-wallet,Binance Chain Wallet,3.9047619047619047,"30,000",Binance Chain,2020-12-01 00:00:00
chrome,dlnalaneihafdkdcekejdekiclgdghka,breadcrumbs-blockchain-in,Breadcrumbs Blockchain Investigate,5.0,22,Breadcrumbs,2020-08-22 00:00:00
chrome,dconegbmnkoeccohdkifggkgdhoaedgc,ethereum-ethusd-price-tic,Ethereum (ETH/USD) Price Ticker,5.0,73,Taha,2020-03-20 00:00:00
chrome,caddnmdigajdehmjbnlkpmnckkcneckf,ethereum-price-in-usd,Ethereum price in USD,5.0,6,crypto prices,2020-10-06 00:00:00
chrome,ainmgbleakflfgjjoolgmgfepddnpeln,ethereum-monitor,Ethereum monitor,0.0,3,Awork,2020-07-15 00:00:00
chrome,gmmnjkphjfnanlojihefoeidjmbakfde,ethereum-price-in-eur,Ethereum price in EUR,5.0,4,crypto prices,2020-10-06 00:00:00
chrome,eachlnokbkckmbhglohpcmhllebcdbme,ethereum-price-ticker-ale,Ethereum Price Ticker & Alert,0.0,3,happy elephant web development,2020-09-08 00:00:00
chrome,bbmdccojdbpcpmoadenplnoncfcijgkn,onewallet-kratos-mainnet,OneWallet Kratos Mainnet,5.0,298,OneLedger Technologies Inc.,2020-09-01 00:00:00
chrome,cmbagcoinhmacpcgmbiniijboejgiahi,justliquidity-wallet,JustLiquidity Wallet,5.0,82,JustLiquidity,2020-10-13 00:00:00
chrome,llpbjcejemjfaicajiephoejjnogfbed,bitcoin-tab,Bitcoin Tab,0.0,8,Bitcoin Tab,2020-11-29 00:00:00
chrome,kgjhgbkbobjkkhkfddbdmcppkaialoel,bitcoincash-bch-price-tic,BitcoinCash (BCH) Price Ticker,4.333333333333333,255,Taha,2020-03-10 00:00:00
chrome,jadobjbcgibiopkifknkfnohlelpocll,badger-wallet,Badger Wallet,4.862068965517241,"6,000",badgerwallet,2020-04-01 00:00:00
chrome,lfalmidbffpgbpbjckichdnemaoenemj,snappy-cash,Snappy Cash,5.0,28,sterlingbeason,2020-03-11 00:00:00
chrome,ekgoigfalelgbdohgmolhmblfpljaagf,just-bitcoin-cash-ticker,Just Bitcoin Cash Ticker [PRO],0.0,1,morocco,2020-11-03 00:00:00
chrome,nbpfcapniahpdkfmejpogoiamnconiik,just-bitcoin-cash-sv-tick,Just Bitcoin Cash Sv Ticker [PRO],0.0,1,morocco,2020-11-04 00:00:00
chrome,gfchpofllbnjfhgmjbgmhljdpolcjing,mraddon-blockchain-viewer,MrAddon BlockChain Viewer for Chrome,0.0,25,MrAddon ®,2020-11-24 00:00:00
chrome,pdpahdgmbnpeepflkedmdcieohpcpchh,cryptocurrency-price-tick,Cryptocurrency Price Ticker,5.0,15,Ethan Chiasson,2020-02-01 00:00:00
