platform,id,key,name,rating,user_numbers,creator,last_updated
chrome,pcaanhhfglonkfpmpjgflifljpfdlpbn,healthy-habits,Healthy Habits,5.0,11,the.healthy.habits.app,2020-04-20 00:00:00
chrome,jjhcmghlbfddklhfedkahgkncchakedj,sams-club-gift-card-free,Sam's Club Gift Card - Free $1000 Gift Card,0.0,0,arulrajnellai,2020-12-06 00:00:00
chrome,nppgknjeeojeghmaegambagdckglfcgf,chainlink-linkusd-price-t,ChainLink (LINK/USD) Price Ticker,4.5,86,Taha,2020-03-11 00:00:00
chrome,dffjlgnecfafjfmkknpipapcbgajflge,chainx-extension,ChainX extension,4.0,"1,000",chainx.extension,2020-06-23 00:00:00
chrome,ffbhaeoepdfapfjhcihbbhlaigejfack,cocospay,CocosPay,3.5,600,chain,2020-07-23 00:00:00
chrome,onebfemgnhgpkdcmijbpjakhhidonjfl,coincorner-earn-bitcoin,CoinCorner - Earn Bitcoin,5.0,307,CoinCorner,2020-12-16 00:00:00
chrome,fdlphmindllconhbcmlpdiildicodcjm,contentos-wallet,Contentos Wallet,0.0,5,dev-chrome-plugin,2020-04-06 00:00:00
chrome,jlcaefilcommembbekhjjkibeieffchd,widilo-cashback-reminder,Widilo Cashback Reminder,4.625,"10,000",Widilo,2020-07-29 00:00:00
chrome,jjandokkgclchaiipibaligpnceifmif,cashback-it-bestshopping,Cashback IT-Bestshopping,4.611111111111111,"10,000",bestshopping.com,2020-10-12 00:00:00
chrome,jfnangjojcioomickmmnfmiadkfhcdmd,nominer-block-coin-miners,NoMiner - Block Coin Miners,4.0,"10,000",chYer,2020-11-29 00:00:00
chrome,jjcbgfhjneiblaifakgnnkdakebpebaf,bitcoin-auto-converter,Bitcoin Auto-Converter,4.0344827586206895,"1,000",Concept211,2020-05-23 00:00:00
chrome,ehmhocjlcagmfeokjhmgmednhbdhpgep,binance-cryptocurrency-pr,Binance cryptocurrency price alerts,4.857142857142857,"1,000",arslan ali hunzai,2020-12-13 00:00:00
chrome,nbojhgkmkpakgfljijgnfofliafnbbfk,cryptocurrency-volume-mom,Cryptocurrency volume momentum indicator,5.0,189,arslan ali hunzai,2020-06-01 00:00:00
chrome,fmglcggbdcbkpkfapngjobfeakehpcgj,coin-tools,Coin Tools,5.0,24,https://weibomiaopai.com/download-video-parser.php,2020-07-13 00:00:00
chrome,ceepigemlmlbphjhffddplfecgedhoeb,pfcrypto,pfcrypto,4.7368421052631575,519,sclem,2020-10-03 00:00:00
chrome,pilcnokghppinkjdehogbimdidogefhb,mod-unlimited-money-fallo,[Mod Unlimited Money] Fallout Shelter Mod Apk,0.0,54,bishnusahu184,2020-12-12 00:00:00
chrome,ghfkhmjodifeadjngapnjfijggbhifen,ethernom-password-manager,Ethernom - Password Manager,0.0,104,"Ethernom, Inc.",2020-10-02 00:00:00
chrome,eondnglmkmoebhbhihbilkkkjfianlcm,nr1-social-media-exchange,Nr.1 Social Media Exchange by Everve,3.11340206185567,"40,000",Everve,2020-07-09 00:00:00
chrome,nkhbpikfdnmjhkdnflbgikpepnbilppk,safepay,SafePay,0.0,4,contact.teamkz,2020-05-21 00:00:00
chrome,hiplpegdheljmkacdnibjaibfacpmond,coinbase-sendreceive,Coinbase Send/Receive,4.5,"1,000",coinbase extension,2020-01-15 00:00:00
chrome,ehdcnknapbpfnbacjkdcfjnaadicclml,flash-cards-division-fact,Flash Cards : Division Facts,1.5,277,Obsidian River Software,2020-06-06 00:00:00
chrome,cichbngoomgnobmmjpagmbkimbamigie,finance-toolbar-real-time,Finance Toolbar - Real Time Stock Tracker,3.687230989956958,"30,000",Stefan vd,2020-03-25 00:00:00
chrome,fhbohimaelbohpjbbldcngcnapndodjp,binance-chain-wallet,Binance Chain Wallet,3.9583333333333335,"30,000",Binance Chain,2020-12-24 00:00:00
chrome,dlnalaneihafdkdcekejdekiclgdghka,breadcrumbs-blockchain-in,Breadcrumbs Blockchain Investigate,5.0,24,Breadcrumbs,2020-08-22 00:00:00
chrome,dconegbmnkoeccohdkifggkgdhoaedgc,ethereum-ethusd-price-tic,Ethereum (ETH/USD) Price Ticker,5.0,69,Taha,2020-03-20 00:00:00
chrome,caddnmdigajdehmjbnlkpmnckkcneckf,ethereum-price-in-usd-by,Ethereum price in USD by BitcoinFan,5.0,23,BitcoinFan,2020-12-26 00:00:00
chrome,eachlnokbkckmbhglohpcmhllebcdbme,ethereum-price-ticker-ale,Ethereum Price Ticker & Alert,0.0,5,happy elephant web development,2020-09-08 00:00:00
chrome,ainmgbleakflfgjjoolgmgfepddnpeln,ethereum-monitor,Ethereum monitor,0.0,3,Awork,2020-07-15 00:00:00
chrome,gmmnjkphjfnanlojihefoeidjmbakfde,ethereum-price-in-eur-by,Ethereum price in EUR by BitcoinFan,5.0,5,BitcoinFan,2020-12-26 00:00:00
chrome,llpbjcejemjfaicajiephoejjnogfbed,bitcoin-tab,Bitcoin Tab,0.0,10,Bitcoin Tab,2020-11-29 00:00:00
chrome,nkddgncdjgjfcddamfgcmfnlhccnimig,saturn-wallet,Saturn Wallet,4.647058823529412,"2,000",Saturn Network,2020-01-29 00:00:00
chrome,ejeemcbjgjnbmdckfkiofpiogmkejdja,just-ethereum-classic-tic,Just Ethereum Classic Ticker [PRO],0.0,1,morocco,2020-11-03 00:00:00
chrome,japgcbmdokcibjdencjalgfjeglgbcgc,tx-ray-beta-protect-your,TX-ray (Beta): Protect Your Wallets,5.0,21,TX-ray,2020-03-19 00:00:00
chrome,gbjepgaebckfidagpfeioimheabiohmg,zeon-wallet,ZEON Wallet,5.0,63,ZEON Network,2020-05-27 00:00:00
chrome,ihdpgdlddojmmkaokmnfdcdlooialppg,sagewallet,SageWallet,0.0,2,sagecitydevs,2020-09-04 00:00:00
chrome,innfmlnnhfcebjcnfopadflecemoddnp,ethereum-gas-price-extens,Ethereum Gas Price Extension,4.9,"3,000",nieldlr,2020-11-04 00:00:00
chrome,njbclohenpagagafbmdipcdoogfpnfhp,ethereum-gas-prices,Ethereum Gas Prices,5.0,265,Philippe Masset,2020-09-18 00:00:00
chrome,fnnegphlobjdpkhecapkijjdkgcjhkib,harmony-one-wallet,Harmony One Wallet,4.666666666666667,387,Harmony,2020-11-23 00:00:00
chrome,mnlfoooikhmcaomegmfopecjngldnmmn,ethermine-watcher,Ethermine Watcher,0.0,104,DW Crypto,2020-05-19 00:00:00
chrome,jcacnejopjdphbnjgfaaobbfafkihpep,hive-keychain,Hive Keychain,4.6,"8,000",Matt Rosen (@yabapmatt),2020-11-29 00:00:00
chrome,oggbildghlaglfmmpekjgejajohilbmm,huobi-eco-chain-wallet,Huobi Eco Chain Wallet,5.0,19,Huobi Blockchain,2020-12-02 00:00:00
chrome,kncchdigobghenbbaddojjnnaogfppfj,iwallet,iWallet,4.0476190476190474,"10,000",lucusfly,2020-11-25 00:00:00
chrome,pnleehdloehdndokdiemokopkalbbgen,mex-assistant-for-bitmex,MEX Assistant for BitMEX,4.8,75,MEX Assistant,2020-12-01 00:00:00
